strain,load
9.288,63.6
9.288,63.3
9.292,63.2
9.292,63
9.292,62.8
9.297,62.6
9.297,62.5
9.297,62.3
9.297,62
9.301,61.9
9.301,61.6
9.305,61.5
9.305,61.4
9.309,61.3
9.309,61.3
9.313,61.4
9.313,61.4
9.313,61.5
9.317,61.5
9.321,61.6
9.321,61.6
9.321,61.8
9.325,61.8
9.325,61.9
9.329,62.1
9.329,62.1
9.329,62.3
9.333,62.4
9.333,62.4
9.333,62.4
9.337,62.5
9.337,62.7
9.342,62.7
9.342,62.8
9.342,62.9
9.342,62.9
9.346,63
9.346,63.2
9.346,63.2
9.35,63.3
9.35,63.4
9.35,63.5
9.354,63.6
9.354,63.7
9.354,63.7
9.354,63.8
9.358,63.9
9.358,63.9
9.358,64
9.362,64
9.362,64.2
9.362,64.2
9.362,64.2
9.366,64.3
9.366,64.3
9.366,64.4
9.37,64.4
9.37,64.5
9.37,64.7
9.37,64.6
9.374,64.7
9.374,64.8
9.374,64.8
9.374,64.9
9.378,64.9
9.378,65
9.378,65.1
9.378,65
9.378,65.2
9.382,65.2
9.382,65.2
9.382,65.4
9.387,65.4
9.387,65.4
9.387,65.4
9.387,65.5
9.391,65.5
9.391,65.5
9.391,65.4
9.391,65.4
9.395,65.4
9.395,65.3
9.395,65.3
9.395,65.3
9.399,65.3
9.399,65.2
9.399,65.1
9.403,65
9.403,64.9
9.403,64.9
9.407,64.9
9.407,64.8
9.407,64.8
9.411,64.8
9.411,64.8
9.411,64.9
9.411,64.8
9.415,65
9.415,65
9.415,65
9.415,65
9.419,65
9.419,65.1
9.419,65.1
9.423,65.1
9.423,65.2
9.423,65.1
9.423,65.1
9.427,65.1
9.427,65.2
9.427,65.2
9.427,65.3
9.432,65.5
9.432,65.5
9.432,65.5
9.432,65.6
9.436,65.6
9.436,65.6
9.436,65.7
9.436,65.7
9.44,65.7
9.44,65.8
9.44,65.9
9.444,65.9
9.444,66
9.444,66.1
9.444,66.1
9.448,66.2
9.448,66.2
9.448,66.3
9.452,66.3
9.452,66.4
9.452,66.4
9.452,66.5
9.456,66.5
9.456,66.6
9.456,66.7
9.456,66.7
9.46,66.8
9.46,66.9
9.46,66.8
9.46,66.9
9.464,67
9.464,67
9.464,67.2
9.468,67.2
9.468,67.3
9.468,67.4
9.468,67.4
9.473,67.5
9.473,67.4
9.473,67.6
9.473,67.6
9.477,67.6
9.477,67.7
9.477,67.8
9.477,67.9
9.481,67.8
9.481,67.9
9.481,68
9.481,68.1
9.485,68.2
9.485,68.2
9.485,68.3
9.485,68.3
9.489,68.4
9.489,68.4
9.489,68.4
9.489,68.5
9.493,68.5
9.493,68.5
9.493,68.6
9.493,68.6
9.497,68.8
9.497,68.8
9.497,68.9
9.497,68.9
9.501,68.9
9.501,68.9
9.501,68.9
9.501,69
9.505,69
9.505,69.1
9.505,69.3
9.505,69.3
9.505,69.3
9.509,69.4
9.509,69.4
9.509,69.4
9.509,69.4
9.513,69.5
9.513,69.5
9.513,69.5
9.513,69.6
9.518,69.5
9.518,69.5
9.518,69.6
9.518,69.7
9.522,69.7
9.522,69.8
9.522,69.8
9.522,69.7
9.522,69.7
9.526,69.7
9.526,69.7
9.526,69.8
9.526,69.8
9.53,69.8
9.53,69.8
9.53,69.8
9.53,69.8
9.534,69.8
9.534,69.8
9.534,69.7
9.534,69.6
9.534,69.6
9.538,69.4
9.538,69.4
9.538,69.2
9.542,68.8
9.558,68.6
9.558,65.3
9.563,62.2
9.567,58.8
9.567,55.4
9.571,51.5
9.571,51.1
9.571,50
9.575,49.2
9.575,49
9.579,48.5
9.579,48.2
9.579,48
9.583,47.8
9.583,47.8
9.587,47.7
9.587,47.7
9.587,47.7
9.591,47.6
9.591,47.7
9.591,47.7
9.591,47.9
9.595,47.9
9.595,48
9.595,48
9.599,48
9.599,48
9.599,48
9.599,48
9.603,48.1
9.603,48
9.603,48.2
9.608,48.1
9.608,48.2
9.608,48.3
9.608,48.3
9.608,48.3
9.612,48.3
9.612,48.4
9.612,48.4
9.616,48.4
9.616,48.5
9.616,48.5
9.616,48.6
9.62,48.6
9.62,48.6
9.62,48.6
9.62,48.6
9.624,48.7
9.624,48.7
9.624,48.6
9.624,48.7
9.624,48.8
9.628,48.8
9.628,48.9
9.628,48.8
9.628,48.9
9.632,48.9
9.632,48.9
9.632,49
9.632,49.1
9.636,49.1
9.636,49.1
9.636,49.1
9.636,49.2
9.64,49.3
9.64,49.4
9.64,49.4
9.64,49.4
9.64,49.5
9.644,49.5
9.644,49.7
9.644,49.7
9.644,49.7
9.648,49.7
9.648,49.7
9.648,49.7
9.648,49.8
9.648,49.8
9.653,49.9
9.653,49.9
9.653,50
9.653,50
9.657,50
9.657,50
9.657,50
9.657,50
9.661,50
9.661,50.1
9.661,50.1
9.661,50.2
9.661,50.2
9.665,50.3
9.665,50.3
9.665,50.3
9.665,50.3
9.665,50.2
9.669,50.2
9.669,50.2
9.669,50.2
9.669,50.2
9.669,50.1
9.673,50
9.673,50
9.673,50
9.673,50.1
9.673,50.1
9.673,50.1
9.677,50.1
9.677,50.1
9.677,50.1
9.677,50
9.681,50
9.681,49.9
9.681,49.9
9.681,49.9
9.685,49.9
9.685,50
9.685,50.1
9.685,50.1
9.685,50.2
9.689,50.2
9.689,50.2
9.689,50.2
9.689,50.2
9.689,50.2
9.693,50.2
9.693,50.3
9.693,50.2
9.693,50.3
9.693,50.3
9.698,50.3
9.698,50.3
9.698,50.3
9.698,50.3
9.702,50.4
9.702,50.4
9.702,50.5
9.702,50.4
9.702,50.5
9.706,50.5
9.706,50.4
9.706,50.6
9.706,50.5
9.706,50.5
9.71,50.5
9.71,50.4
9.71,50.4
9.71,50.3
9.714,50.2
9.714,50.1
9.714,50
9.714,50
9.714,49.7
9.714,49.6
9.714,49.2
9.714,48.8
9.714,48.6
9.718,48.3
9.718,48.1
9.718,48
9.718,47.9
9.718,47.8
9.722,47.8
9.722,47.8
9.722,47.8
9.722,47.8
9.722,47.8
9.726,47.8
9.726,47.7
9.726,47.7
9.726,47.7
9.73,47.8
9.73,47.9
9.73,48
9.73,48
9.73,48
9.734,48
9.734,48
9.734,48.1
9.734,48
9.738,48.2
9.738,48.1
9.738,48.2
9.738,48.2
9.738,48.3
9.743,48.3
9.743,48.4
9.743,48.5
9.743,48.5
